type=player img=man_2.png x=9 y=13 w=1 h=1
type=obj img=boss_smile.png x=8 y=4 w=4 h=4
# spawners
type=spwn file=spawn1_boss.txt
# top
type=obj img=computer_wall3.png x=1 y=0 w=2 h=2
type=obj img=computer_wall3.png x=3 y=0 w=2 h=2
type=obj img=computer_wall3.png x=5 y=0 w=2 h=2
type=obj img=computer_wall3.png x=7 y=0 w=2 h=2
type=obj img=computer_wall3.png x=9 y=0 w=2 h=2
type=obj img=computer_wall3.png x=11 y=0 w=2 h=2
type=obj img=computer_wall3.png x=13 y=0 w=2 h=2
type=obj img=computer_wall3.png x=15 y=0 w=2 h=2
type=obj img=computer_wall3.png x=17 y=0 w=2 h=2
